tweet,abusive,hateful,offensive,disrespectful,fearful,normal,tweet_cleaned
word retard offensive. next time wanna make fun buddy something stupid call @url,0,0,1,0,0,0,word retard offensive next time wanna make fun buddy something stupid call
i've saying vice garbage well take l faggot.,0,0,1,0,0,0,have saying vice garbage well take faggot
macron can't see country's sinking shithole trying merkel cunts interested @url,0,0,0,0,0,1,macron can not see country sinking shithole trying merkel cunts interested
verstappen bad start crashes twat ricciardo 1st vettel 2nd @url,0,0,1,0,0,0,verstappen bad start crashes twat ricciardo vettel
use word retarded derogatory sense piece shit lol,0,1,0,0,0,0,use word retarded derogatory sense piece shit lol
@user @user defend someone kenya high that's kenya shithole country,0,0,1,0,0,0,defend someone kenya high that is kenya shithole country
@user god look like faggot.,1,1,0,0,0,0,god look like faggot
faggot!,0,0,1,0,0,0,faggot
i'm enjoying word  twat  used here. nowt like bit plain speaking.,0,0,1,0,0,0,am enjoying word twat used here nowt like bit plain speaking
actually ties nigger tbh,0,0,1,1,1,1,actually ties nigger tbh
accurate. thank u nigger twink @url,0,0,1,0,0,0,accurate thank nigger twink
haha throwback third grade boy said ching chong ching chong pulled back eyes wasnt @url,0,0,1,0,0,0,haha throwback grade boy said ching chong ching chong pulled back eyes was nt
@user @user @user sensitive fragile get block next! iterations. two twat @url,0,0,1,0,0,0,sensitive fragile get block next iterations twat
problem frank? faggot? hey go eat mothers asshole out. hey - fuck fuck f @url,0,0,1,0,0,0,problem frank faggot hey go eat mothers asshole out hey fuck fuck
@user wow middle east africa south asia? shithole countries gathered together walk thou @url,1,1,1,0,1,1,wow middle east africa south asia shithole countries gathered together walk thou
@user well asked popular ching chong band..,0,0,1,0,0,1,well asked popular ching chong band
california candidate governor promises free health care illegal immigrants latest push financial @url,0,0,1,0,0,0,california candidate governor promises free health care illegal immigrants latest push financial
@user chinaman's chance hell would vote i've already voted guess voted for?,0,0,1,0,0,0,chinaman chance hell would vote have already voted guess voted for
@user looks spic span want go,0,0,1,0,0,0,looks spic span want go
absolute fucking cunt. i'll stab fucking eyes horrible bastard. @url,1,0,1,0,0,0,absolute fucking cunt will stab fucking eyes horrible bastard
cutting aid shithole countries might smarten up!,0,0,0,0,0,1,cutting aid shithole countries might smarten up
@user uhm ?! need explain making wrong say gook chink spic mick heb common disc @url,0,0,1,0,0,0,uhm need explain making wrong say gook chink spic mick heb common disc
@user fine dyke,0,0,1,0,0,0,fine dyke
@user raghead killed ragheads. inshallah.,0,0,1,0,0,0,raghead killed ragheads inshallah
@user shut ur dog retard,0,0,1,0,0,0,shut ur dog retard
@user shame absolute faggot,0,1,0,0,0,0,shame absolute faggot
@user @user @user steve cortes cynical spic! father even speak english @url,0,0,1,0,0,0,steve cortes cynical spic father even speak english
videos grandpas fat gay fucking gay grandpas negro gay masturbation peperonity gay fetish pics,0,1,0,0,0,0,videos grandpas fat gay fucking gay grandpas negro gay masturbation peperonity gay fetish pics
anime character asian look asiannnthat's almost every anime character retard. @url,0,0,1,0,0,0,anime character asian look asiannthat almost every anime character retard
@user seem care illegal immigrants dreamer criminal children indigenous black @url,0,0,0,0,0,1,seem care illegal immigrants dreamer criminal children indigenous black
@user want bring crime corruption waving shithole countries f @url,0,0,1,0,0,0,want bring crime corruption waving shithole countries
@user trump hater retard like race first person say dumbest shit trumps daugh @url,0,0,1,0,0,0,trump hater retard like race person say dumbest shit trumps daugh
@user @user oh fuck silly twat,0,0,1,0,0,0,oh fuck silly twat
thanks historic global warming signed law shithole countries going daca g @url,0,0,1,1,0,0,thanks historic global warming signed law shithole countries going daca
@user shit watch twitter get locked saying faggot word #victoryroyale,0,1,1,0,0,0,shit watch twitter get locked saying faggot word victoryroyale
sound radio show paso robles today. discuss illegal aliens voting community safety mor @url,0,0,0,0,1,1,sound radio show paso robles today discuss illegal aliens voting community safety mor
boys fucking retarded,0,0,1,0,0,0,boys fucking retarded
@user @user retarded thing anyone said election process . thi @url,0,0,1,0,0,0,retarded thing anyone said election process thi
@user @user obama member ?ching chong ? club photos blazing ganga,0,0,1,0,0,0,obama member ching chong club photos blazing ganga
meant funny...fuckin cunt @url,0,0,1,0,0,1,meant funny fuckin cunt
everything better. cunt alive..,0,0,1,0,0,0,everything better cunt alive
@user one chromosome manynmongoloid mongoloidnand determined could seenand wore @url,0,0,1,0,0,0,chromosome manynmongoloid mongoloidnand determined could seenand wore
cash assisting hottest fucken dyke today mannnnn thought gay days bam,0,0,1,0,0,0,cash assisting hottest fucken dyke today mann thought gay days bam
 groupforsissiesandfaggots: another sissy faggot crave attention @user ready suck big... @url,0,0,1,0,0,0,groupforsissiesandfaggots another sissy faggot crave attention ready suck big
@user @user like stupid right?nshow proof mongoloid that.,0,0,1,0,0,0,like stupid rightnshow proof mongoloid that
@user 6/28/2018. four illegal aliens accused kidnapping raping two teenage sisters 13 1 @url,0,0,0,0,0,1,illegal aliens accused kidnapping raping teenage sisters
odell better wr hopkins mongoloid qb holding back production. @url,1,0,1,1,1,1,odell better wr hopkins mongoloid qb holding back production
@user come back wear shirts look like nanas carpet mongy cunt,0,0,1,0,0,0,come back wear shirts look like nanas carpet mongy cunt
conservatives really trying say austin mail bomber radical leftist terrorist,0,0,1,0,0,0,conservatives really trying say austin mail bomber radical leftist terrorist
here's example lowlife scumbags us who's trying spoil taliban name.nthis retarded fanatic torturer cl @url,0,0,1,0,0,0,here is example lowlife scumbags us who is trying spoil taliban namenthis retarded fanatic torturer cl
@user @user democrats do. wonder support illegal aliens. th @url,0,0,1,0,0,0,democrats do wonder support illegal aliens th
@user faggot needs get knocked,0,1,0,0,0,1,faggot needs get knocked
sami wins. straight retarded shit,0,0,1,0,0,0,sami wins straight retarded shit
eyes saw sob brain read nigger @url,0,0,1,0,0,0,eyes saw sob brain read nigger
criticism soros actually attack jews? nreferring globalist akin saying dirty jew @url,0,0,1,0,0,0,criticism soros actually attack jews nreferring globalist akin saying dirty jew
@user @user nd name ain't jamar retard,0,0,1,0,0,0,nd name is not jamar retard
@user cunt got stutter suhin?,0,0,1,0,0,0,cunt got stutter suhin
#feminazi,0,0,1,0,0,0,feminazi
@user still white faggot tweet. @url,0,0,1,0,0,0,still white faggot tweet
i'm glad talked acting retarded,0,0,1,0,0,0,am glad talked acting retarded
@user @user get country raghead,0,1,0,0,0,0,get country raghead
@user @user @user that's point! shithole country get become @url,0,0,1,0,0,0,that is point shithole country get become
@user another great point!nnanytime person leftist terrorist ties law enforcement @url,0,0,0,0,0,1,another great pointnnanytime person leftist terrorist ties law enforcement
@user @user able tweet insufferable bullshit proves trump nazi twat w @url,0,0,1,0,0,0,able tweet insufferable bullshit proves trump nazi twat
come shithole country. brought slums work nothing. deported. @url,0,1,1,0,0,0,come shithole country brought slums work nothing deported
@user i'd assume nonce like say retard. harsh,1,1,1,1,0,1,would assume nonce like say retard harsh
nigga ching chong racist man,0,0,1,0,0,0,nigga ching chong racist man
@user kindergarten too. kids ran said ching chong made slanty eyes foolish @url,0,0,1,0,0,0,kindergarten too kids ran said ching chong made slanty eyes foolish
trump's making country shithole millions millions people.,0,0,1,0,1,0,trump making country shithole millions millions people
10th mongol derby (@user longest toughest horse race world 1000 km across mo @url,0,0,1,0,0,0,mongol derby longest toughest horse race world km across mo
@user he's sort cunt mate,0,0,1,0,0,0,he is sort cunt mate
keep energy faves getting called ching chong dog eaters f*gs. tf gonna laugh @url,1,0,1,0,0,0,keep energy faves getting called ching chong dog eaters fgs tf gon na laugh
@user interestingly vanessa beeley mostly re-tweets vanessa beeley like narcissistic conspiracy theoris @url,0,0,0,0,0,1,interestingly vanessa beeley mostly re tweets vanessa beeley like narcissistic conspiracy theoris
@user well leftist terrorist would learn behave white terrorism issue,0,0,1,0,0,0,well leftist terrorist would learn behave white terrorism issue
course safety net necesary that's basic principle civikized country.nno shithole country safet @url,0,0,0,0,1,1,course safety net necesary that is basic principle civikized countrynno shithole country safet
@user look macrons eurafrica union mediterranean. wants millions more.,0,0,1,0,0,1,look macrons eurafrica union mediterranean wants millions more
@user @user get it? turned country shithole. let us @url,0,1,0,1,0,0,get it turned country shithole let us
@user ching chong lets go play big bong ping pong thx k bye,0,0,1,0,0,0,ching chong lets go play big bong ping pong thx bye
@user @user who's oswald dyke,0,0,1,0,0,0,who is oswald dyke
shut jackie-chan twat!!n#spidermanandfriendsbot,0,0,1,0,0,0,shut jackie chan twatnspidermanandfriendsbot
@user sounds like faggot,0,0,1,0,0,0,sounds like faggot
funny #crypto today oct 28 2018. daily #cryptocurrency comical funny lame junk dank retard thread. help @url,0,0,1,0,0,0,funny crypto today oct daily cryptocurrency comical funny lame junk dank retard thread help
get comfortable around gonna think ass retarded,0,1,1,1,1,1,get comfortable around gon na think ass retarded
african migrants crossing mediterranean head spain italys blockade @url via @user,0,0,0,0,0,1,african migrants crossing mediterranean head spain italys blockade via
look absolute doos! trophy hunter man cunt. understand hunting foo @url,1,0,1,0,0,0,look absolute doos trophy hunter man cunt understand hunting foo
1v1 riot shields round 11 cunt fuck game cunt,0,0,1,0,0,0,riot shields round cunt fuck game cunt
america turned best land civilized people negro people less' earthqua @url,0,0,1,0,0,1,america turned best land civilized people negro people less earthqua
mongy cunt ashley young keep fist bumping everyone grow mate,0,0,0,0,0,1,mongy cunt ashley young keep fist bumping everyone grow mate
ok ching chong @url,0,0,1,0,0,0,ok ching chong
can't believe cunt wrote office. @url,1,1,1,1,1,0,can not believe cunt wrote office
god he's fucking twat. @url,0,0,1,0,0,0,god he is fucking twat
@user @user love term feminazis. mind use ? funny always crying @url,0,0,1,0,0,0,love term feminazis mind use funny always crying
@user least give credits ching chong name,0,0,1,0,0,0,least give credits ching chong name
@user @user @user push back leftist professors like #billayers writing @url,0,0,1,0,0,0,push back leftist professors like billayers writing
want prove know big cunt be....shoot &amp; kill sleeping lion @url,0,0,0,0,0,1,want prove know big cunt be shoot amp kill sleeping lion
hes actually lowkey always nigger @url,0,0,1,0,0,0,he actually lowkey always nigger
@user ching chong style,0,0,1,0,0,0,ching chong style
@user @user @user still need go back shithole countries helped @url,0,0,1,0,0,0,still need go back shithole countries helped
r shithole countries cuz american &amp; european imperialist capitalism helped make so...+ failing war @url,0,0,1,0,0,0,shithole countries cuz american amp european imperialist capitalism helped make so failing war
@user full offense im deadass heterosexual i've never heard faggot life,0,1,0,0,0,0,full offense deadass heterosexual have never heard faggot life
@user laughed retarded man is.,0,1,0,1,0,0,laughed retarded man is
ted canadian cuban father wanted hunt 12 million immigrants deport solution lol fuck ted cruz,0,0,1,0,0,0,ted canadian cuban father wanted hunt immigrants deport solution lol fuck ted cruz
negro fumbles....,0,0,1,0,0,0,negro fumbles
unfuckingbelievable. much sick oxygen stealing dick splash cunt tweet somethin @url,0,0,1,0,0,0,unfuckingbelievable much sick oxygen stealing dick splash cunt tweet somethin
disruptive thing bitcoin retarded shit bitcointalk.,0,1,0,0,0,0,disruptive thing bitcoin retarded shit bitcointalk
@user twat,0,0,1,0,0,0,twat
give past hour i've trying take decent picture eyes keep coming retarded,0,0,1,0,0,1,give past hour have trying take decent picture eyes keep coming retarded
australian aboriginal mongoloid y'all miss first ,0,0,1,0,0,0,australian aboriginal mongoloid you all miss
@user @user hey retard 4 injured killed,1,0,1,0,0,0,hey retard injured killed
weapon war retard shoot glock fast armalite rifle (ar). @url,0,0,1,0,0,0,weapon war retard shoot glock fast armalite rifle ar
@user course. dishonest leftist moron outright terrorist sympathizer would fall u @url,0,0,1,0,0,0,course dishonest leftist moron outright terrorist sympathizer would fall
went full retard..never go fullnretard..,0,0,1,0,0,0,went full retard never go fullnretard
@user fuck retard,0,1,0,0,0,0,fuck retard
@user @user maggie twitter tonight one would think lesbian feminazi asexual.,0,0,1,0,0,0,maggie twitter tonight would think lesbian feminazi asexual
@user @user @user @user okay retard.,0,0,1,0,0,0,okay retard
going pippi longstocking halloween event tonight bc shes ginger wears dyke attire fit criteria,0,0,1,0,0,1,going pippi longstocking halloween event tonight bc she ginger wears dyke attire fit criteria
feminazi sluts prosecuted false accusations publicly defame @url,0,0,1,0,0,0,feminazi sluts prosecuted false accusations publicly defame
@user idgaf potato nigger says,0,0,1,0,0,0,idgaf potato nigger says
@user @user retard,0,0,1,0,0,1,retard
@user @user old dyke thinks anyone cares? know dont. maybe invited @url,0,0,1,1,0,0,old dyke thinks anyone cares know do nt maybe invited
@user get $2s faggot,0,0,1,0,0,0,get faggot
sort mongy comes 2 half hour train journey w headphones . cba,0,0,0,0,0,1,sort mongy comes half hour train journey headphones cba
alec :) _ retarded (: @url,0,0,1,0,0,0,alec retarded
une association qui vient en aide aux migrants @url,1,0,1,1,1,1,une association qui vient en aide aux migrants
trying help people i'm literally dumbass cunt can't help shit,0,1,0,0,0,0,trying help people am literally dumbass cunt can not help shit
@user cunt,0,0,1,0,0,0,cunt
call faggot yeah i'm drinking tea,0,0,0,0,0,1,call faggot yeah am drinking tea
cunt shot  @url,0,0,1,0,0,0,cunt shot
@user order cortado. similar tad stronger sound like twat ,0,0,1,0,0,0,order cortado similar tad stronger sound like twat
black youtubers: demonetized say nigger ????? really wanna say nigger channel,0,0,1,0,0,0,black youtubers demonetized say nigger really wanna say nigger channel
pauline hanson move senate motion declaring 'okay white' @url,0,0,1,0,0,0,pauline hanson move senate motion declaring okay white
@user @user @user defense fucking retard,0,1,1,0,0,0,defense fucking retard
@user @user wikipedia mongol language writes view discredited.,0,0,1,0,0,0,wikipedia mongol language writes view discredited
@user oh no! leftist feminazi threatens vote republican! spitballing i'm pre @url,0,0,0,0,0,1,oh no leftist feminazi threatens vote republican spitballing am pre
@user cunt friend,0,0,1,0,0,0,cunt friend
know soon figure i'm gonna feel retarded,0,0,1,0,0,0,know soon figure am gon na feel retarded
mexican lookin' ass mongoloid #ass #bot,0,1,1,0,0,0,mexican lookin ass mongoloid ass bot
@user @user agree let ukrainian refugees better,0,0,1,0,0,0,agree let ukrainian refugees better
@user true! theyll go ching chong ching chong like even funny making fun people name la apa la god pls :'),0,0,1,0,0,0,true they ll go ching chong ching chong like even funny making fun people name la apa la god pls
@user even need give much thought.. retarded idea,0,0,1,1,0,0,even need give much thought retarded idea
@user @user @user @user absolutely! like guns like libs like immigrants... undocumented!!,0,0,1,0,0,0,absolutely like guns like libs like immigrants undocumented
@user @user uhhh... u stupid faggot. goblin slayer actually makes sense .,1,1,1,1,0,1,uhh stupid faggot goblin slayer actually makes sense
liecheatoffendupsetangerdisrespectalienatebully generally cunt can't surprised grow old lonely,0,0,1,0,0,0,liecheatoffendupsetangerdisrespectalienatebully generally cunt can not surprised grow old lonely
@user lol ok sure. cunt ,0,0,1,0,0,0,lol ok sure cunt
@user @user group makes absolutely sense me. origins shithole co @url,0,1,0,0,0,1,group makes absolutely sense me origins shithole co
ching chong chang im tired,0,0,0,1,0,1,ching chong chang tired
@user @user i've using mongoloid lot lately. imbecilic really punch i' @url,0,1,1,0,0,0,have using mongoloid lot lately imbecilic really punch
sober truth ideology see retard defend it.,0,0,1,0,0,0,sober truth ideology see retard defend it
@user @user lol salty great...twiting multiple tweets trumps triggering twit twat...gfy,0,0,1,0,0,0,lol salty great twiting multiple tweets trumps triggering twit twat gfy
@user @user @user @user #illegalaliens immigrants.,0,0,0,0,1,1,illegalaliens immigrants
cunt sister like - knock ass little girl.,0,0,1,0,0,0,cunt sister like knock ass little girl
@user call spic gonna lie,0,1,0,0,0,0,call spic gon na lie
gavin mc innes:nusing words asfaggot nigger+slutare context.they swear words;go 2 old black g @url,0,0,1,1,0,0,gavin mc innes nusing words asfaggot niggerslutare contextthey swear wordsgo old black
asian girl got mad said ling long ching chong like dont talking like,0,0,1,0,0,0,asian girl got mad said ling long ching chong like do nt talking like
shut fat sweaty mongoloid. never get higher d. - stan #southpark,0,1,0,0,0,1,shut fat sweaty mongoloid never get higher stan southpark
dis dyke finna get feminized backword,0,0,1,0,0,0,dis dyke finna get feminized backword
@user agree totally. word retarded politically incorrect that's would call dave roberts,0,0,1,0,0,0,agree totally word retarded politically incorrect that is would call dave roberts
@user mongy like,0,1,0,0,0,1,mongy like
another season dicking mongy teams 6-0 championship next year then.,0,0,1,0,0,0,another season dicking mongy teams championship next year then
@user @user @user @user @user @user nigga played day retard lmaaa @url,0,0,1,0,0,0,nigga played day retard lmaa
@user @user party mr7asson account yesterday stfu retard,1,0,1,0,0,0,party mrasson account yesterday stfu retard
kim kardashian tweet pics boobies areola twat clit timeline??,1,0,1,1,1,1,kim kardashian tweet pics boobies areola twat clit timeline
