tweet,abusive,hateful,offensive,disrespectful,fearful,normal,tweet_cleaned,tweet_length
@user @user go back shithole country grab pussy,0,0,1,0,0,0,go back shithole country grab pussy,6
@user look retarded,0,1,0,1,0,0,look retarded,2
wish could around see one shithole-countries rule world one day. (better yet trump still around.),0,1,0,0,0,0,wish could around see shithole countries rule world day better yet trump still around,14
@user @user that's retarded thing ever seen twitter.,0,0,1,0,0,0,that is retarded thing ever seen twitter,7
fucking fat anorexic gay homophobic mexican nigger retard pig @user,0,0,1,0,0,0,fucking fat anorexic gay homophobic mexican nigger retard pig,9
maybe i'm retarded,1,1,1,1,1,0,maybe am retarded,3
migraction 59 en faveur des migrants de calais @url via @user,0,0,0,0,1,1,migraction en faveur des migrants de calais via,8
twat @url,0,0,1,0,0,0,twat,1
nigga didnt realize fox news negro thought talking shit white women would ok @url,0,0,1,1,0,0,nigga did nt realize fox news negro thought talking shit white women would ok,14
@user reread shit illiterate twat,0,0,1,0,0,0,reread shit illiterate twat,4
@user ching ching chong :),0,0,1,0,0,0,ching ching chong,3
@user @user fuck suicide male prostitute rubbish chinaman lee hsien loong imagining h @url,0,0,1,0,0,0,fuck suicide male prostitute rubbish chinaman lee hsien loong imagining,10
helped bring alc ae pi party faggot trying kick out. i've less min. fa @url,0,0,1,0,0,0,helped bring alc ae pi party faggot trying kick out have less min fa,14
games c9 surrender look svenskaren go full retard game 2.,0,0,1,0,1,0,games surrender look svenskaren go full retard game,8
stop pleasin' strangersninstead fam'ly twat!,0,0,1,0,0,0,stop pleasin strangersninstead famly twat,5
@user okay giving benefits illegal aliens? ary okay working illegally? ar @url,0,1,0,0,0,0,okay giving benefits illegal aliens ary okay working illegally ar,10
mongoloid literally said wrong place 15 times. @url,0,0,1,0,0,0,mongoloid literally said wrong place times,6
everyone calls mongy jess hate,0,0,1,0,0,0,everyone calls mongy jess hate,5
@user fuck mongy bin dipper,0,0,1,0,0,0,fuck mongy bin dipper,4
@user i'd assume nonce like say retard. harsh,1,1,1,1,0,1,would assume nonce like say retard harsh,7
everything better. cunt alive..,0,0,1,0,0,0,everything better cunt alive,4
@user @user could given shithole countries money,0,0,1,1,0,0,could given shithole countries money,5
cunt wants grab generation scruff neck getting fucking stupid @url,0,0,1,0,0,0,cunt wants grab generation scruff neck getting fucking stupid,9
need @user tell i'm twat right here!,0,0,1,0,0,0,need tell am twat right here,6
@user twat,0,0,1,0,0,0,twat,1
@user unaccounted illegal aliens happy. tufail one,0,0,1,0,0,0,unaccounted illegal aliens happy tufail,5
opposed using word retard retarded would think ok use word libtard?!,0,0,1,0,0,0,opposed using word retard retarded would think ok use word libtard,11
living real white got soul still spic !,0,0,1,0,0,0,living real white got soul still spic,7
@user @user economic asylum thing. neither country shithole asylum. nnhow @url,1,1,1,1,0,1,economic asylum thing neither country shithole asylum nnhow,8
retarded toxic femininity  @url,0,0,1,0,0,0,retarded toxic femininity,3
@user rather clear thinknnhe'd rather chinaman would different reason,1,1,1,1,1,0,rather clear thinknnhed rather chinaman would different reason,8
baby knows potus #mongoloid,0,1,0,0,0,0,baby knows potus mongoloid,4
man leave one week first twat nut,1,1,1,1,0,1,man leave week twat nut,5
@user america shithole country los angeles good.,0,1,0,0,0,0,america shithole country los angeles good,6
@user sigh.. said spic..,0,0,1,0,0,0,sigh said spic,3
@user nigger,0,0,1,0,0,0,nigger,1
scomo biggest faggot madden historyhe bashes everyone anything madden @url,0,0,1,0,0,0,scomo biggest faggot madden historyhe bashes everyone anything madden,9
 gimme break gimme break. break piece fat retard  @url,0,0,0,1,0,0,gimme break gimme break break piece fat retard,8
@user think retard tbh success twitters made automatically post discord many use @url,0,0,1,0,0,0,think retard tbh success twitters made automatically post discord many use,11
@user everything enraging. smug little twat.,1,0,1,1,1,1,everything enraging smug little twat,5
smelly psy blk mom tryin tu send retard kid blk goons car nights sleepnnthe leader smelly @url,0,0,1,0,0,0,smelly psy blk mom tryin tu send retard kid blk goons car nights sleepnnthe leader smelly,16
trump hate jews lmfao ya niggas full retard. know work @user @user right? @url,0,0,1,0,0,0,trump hate jews lmfao ya niggas full retard know work right,11
buy @user @user @user @user @user @user regularly alternatives @url,0,0,0,0,0,1,buy regularly alternatives,3
@user @user honduras guatemala??? would considered shithole countries well?,0,0,1,0,0,0,honduras guatemala would considered shithole countries well,7
@user fuck faggot,0,0,0,0,0,1,fuck faggot,2
look leftist terrorist like guy shot @user softball game compar @url,0,0,0,0,0,1,look leftist terrorist like guy shot softball game compar,9
dawg rondo fucking retarded,0,0,1,0,0,0,dawg rondo fucking retarded,4
2018 yall dont know calling asians ching chong racist,0,0,1,0,0,0,all do nt know calling asians ching chong racist,9
@user early gab awesome maga sad see whole thing wither die one giant retard moshpit cringe.,0,0,1,0,0,0,early gab awesome maga sad see whole thing wither die giant retard moshpit cringe,14
get they're dead communist literally retard mode,0,0,1,0,0,0,get they are dead communist literally retard mode,8
@user hmm okay case take care twat,0,0,0,1,0,0,hmm okay case take care twat,6
@user @user @user retard twitter account looks like.,0,0,1,0,0,0,retard twitter account looks like,5
@user behave yurself today match day stop twat,0,0,1,0,1,0,behave yurself today match day stop twat,7
sounds fucking retarded. idiots seriously get kick shit? jesus...,0,0,1,0,0,0,sounds fucking retarded idiots seriously get kick shit jesus,9
horrible cunt @url,0,1,0,0,0,0,horrible cunt,2
@user welcome twitter club known as.. reported far left retarded cry baby..! @url,0,1,1,0,0,0,welcome twitter club known as reported far left retarded cry baby,11
#shitholecountry leave?nnoh yeah....because shithole country overran @url,0,1,0,0,0,0,shitholecountry leavennoh yeah because shithole country overran,7
@user @user @user retarded.,0,0,1,0,0,0,retarded,1
@user @user mongy american probably,0,0,1,0,0,0,mongy american probably,3
cunt progress bint tpa talking one rule oneone another. near fucking choked coffee.,0,0,1,0,0,0,cunt progress bint tpa talking rule oneone another near fucking choked coffee,12
@user @user dont take allegations seriously thats feminazi brainwashing. see is. context everything.,1,1,0,1,1,1,do nt take allegations seriously that feminazi brainwashing see is context everything,12
@user literally mudslinging retard,0,1,0,0,0,0,literally mudslinging retard,3
true ur ching chong _ 1/8 xd @url,0,0,1,0,0,0,true ur ching chong xd,5
damn right mfs retarded @url,0,0,1,0,0,0,damn right mfs retarded,4
think pittsburgh synagogue shooting hate related ... retarded.,0,0,0,0,0,1,think pittsburgh synagogue shooting hate related retarded,7
(i reclaim retard dont get mad),0,0,1,0,0,0,reclaim retard do nt get mad,6
@user @user cant tell bonnie actually retarded shes pretending.,1,1,1,1,0,1,can not tell bonnie actually retarded she pretending,8
@user fuck suicide male prostitute rubbish chinaman lee hsien loong imagining rubb @url,1,0,1,0,0,0,fuck suicide male prostitute rubbish chinaman lee hsien loong imagining rubb,11
@user @user retard explained isnt drama,0,0,1,0,0,0,retard explained is nt drama,5
1/1024th middle eastern leftist they'd calling largest terrorist attempt since 9/11.nnbut @url,0,1,0,0,0,0,th middle eastern leftist they would calling largest terrorist attempt since nnbut,12
@user 6/28/2018. four illegal aliens accused kidnapping raping two teenage sisters 13 1 @url,0,0,0,0,0,1,illegal aliens accused kidnapping raping teenage sisters,7
cum eye ball faggot dickhead fucking cunt slut cakes,0,0,1,0,0,0,cum eye ball faggot dickhead fucking cunt slut cakes,9
matter hard try always retarded math,0,1,1,1,1,1,matter hard try always retarded math,6
@user ching chong style,0,0,1,0,0,0,ching chong style,3
full grown man fancy dress halloween? wank stain. certified twat.,1,0,1,1,1,1,full grown man fancy dress halloween wank stain certified twat,10
@user look relatives asia mongoloid. many fair haired blue @url,0,0,1,0,0,0,look relatives asia mongoloid many fair haired blue,8
kyo retard nlike fuck,0,0,1,0,0,0,kyo retard nlike fuck,4
@user @user @user #florida shithole country. yeah part usn3 killers @url,0,0,1,0,0,0,florida shithole country yeah part usn killers,7
come serve faggots. messages open. looking new faggot fill space wallet. #findom @url,0,0,1,0,0,0,come serve faggots messages open looking new faggot fill space wallet findom,12
sheck wes nigger,0,1,0,0,0,0,sheck wes nigger,3
@user thanks spic,0,1,1,0,0,0,thanks spic,2
swear boyfriend partially retarded times,1,1,1,0,1,1,swear boyfriend partially retarded times,5
@user i'm making buttered noodles u retard,0,0,1,0,0,0,am making buttered noodles retard,5
proper cunt blokes likely lost friend colleague fuckers already diving absolute @url,0,0,1,0,0,0,proper cunt blokes likely lost friend colleague fuckers already diving absolute,11
@user @user would break heart. america advanced ins many ways conversely retarded w @url,0,0,1,0,0,0,would break heart america advanced ins many ways conversely retarded,10
meanies call mongol sayni child genghis khan child orangutan,1,0,1,0,0,0,meanies call mongol sayni child genghis khan child orangutan,9
faggot looks like walking hiv @url,1,0,1,1,1,1,faggot looks like walking hiv,5
getting illegal aliens stay home fear good first step. next hope move onto self-deporting @url,0,0,1,0,0,0,getting illegal aliens stay home fear good step next hope move onto self deporting,14
cunt would walking away @url,0,0,1,0,0,0,cunt would walking away,4
@user fuck u spic,0,0,1,0,0,0,fuck spic,2
trannys retarded _ asshole  @url,0,0,1,0,0,0,trannys retarded asshole,3
@user @user ima real...you try talk 20000 screaming mentally retarded adults cant even form @url,0,0,1,0,0,0,real you try talk screaming mentally retarded adults can not even form,12
keep mind im negro open mind got screen door best bar whole fuckin album lol,0,0,1,0,0,0,keep mind negro open mind got screen door best bar whole fuckin album lol,14
wayne collab decaying negro,0,1,1,0,0,0,wayne collab decaying negro,4
@user lol ok sure. cunt ,0,0,1,0,0,0,lol ok sure cunt,4
enough enough! @user cancel scheduled testimony lying feminazi ford needs @url,0,1,0,0,1,0,enough enough cancel scheduled testimony lying feminazi ford needs,9
whole okay white thing created expose hate white people inclu @url,0,0,1,0,0,0,whole okay white thing created expose hate white people inclu,10
ima let negro bc really got fucked &amp; know better !!,0,0,1,0,0,0,let negro bc really got fucked amp know better,9
@user crude leftist podcast uses word retard lot fan base made angr @url,0,0,1,0,0,0,crude leftist podcast uses word retard lot fan base made angr,11
retard. @url,0,0,1,0,0,0,retard,1
lagged yo chill faggot fucking hell lol. killing ,0,0,1,0,0,0,lagged yo chill faggot fucking hell lol killing,8
@user yes retarded leader paper tiger.,0,1,0,0,0,0,yes retarded leader paper tiger,5
selling dvds hahahaha shop gonna hate woman counter mongy cunt anyway deser @url,1,1,1,0,1,1,selling dvds hahahaha shop gon na hate woman counter mongy cunt anyway deser,13
i'm done dealing little bitches. grow fucking pair cunt.,0,0,0,0,0,1,am done dealing little bitches grow fucking pair cunt,9
well maybe i'm faggot america!ni'm part redneck agendannow everybody propagandanand sing along age paranoia,0,1,0,1,0,0,well maybe am faggot americanim part redneck agendannow everybody propagandanand sing along age paranoia,14
u see colonialism right?? i'd blast writing vmin getting lost mongol shobhajatra ppl w @url,0,0,0,0,0,1,see colonialism right would blast writing vmin getting lost mongol shobhajatra ppl,12
got head like dyke got head like @url,0,0,1,0,0,0,got head like dyke got head like,7
literally feel retarded anytime use left hand...i looking kinda stupid ,0,0,1,0,0,0,literally feel retarded anytime use left hand looking kinda stupid,10
@user hey spic kinkdom bigger get facts sending ur little puppets talk smacknnur server @url,0,1,0,0,0,0,hey spic kinkdom bigger get facts sending ur little puppets talk smacknnur server,13
@user @user @user hypocrisy retard anyways how's johghyun doing?,0,0,1,0,0,0,hypocrisy retard anyways how is johghyun doing,7
cmon machado fucking mongoloid,0,0,1,0,0,0,cmon machado fucking mongoloid,4
@user chinaman issue,0,0,1,0,0,0,chinaman issue,2
@user rastice bitch add fagot sucks cock dam day night fucking faggot,0,0,1,0,0,0,rastice bitch add fagot sucks cock dam day night fucking faggot,11
15 mins netflix &amp; chill called faggot,0,0,1,0,0,0,mins netflix amp chill called faggot,6
@user @user happens anel retarded.,0,0,1,0,0,0,happens anel retarded,3
@user @user waste graceful white filthy refugees.,0,0,1,0,0,0,waste graceful white filthy refugees,5
@user lmfao shut cunt unfollow,1,0,1,0,0,0,lmfao shut cunt unfollow,4
@user ching chong,0,0,1,0,0,0,ching chong,2
@user brazil go vote use finger print id 3rd world shithole... wh @url,0,0,1,0,0,0,brazil go vote use finger print world shithole wh,9
photographer - humana - 4 #portrait #rio_negro #argentina #strkng #photography #contemporary #bestof @url,0,0,0,0,0,1,photographer humana portrait rionegro argentina strkng photography contemporary bestof,9
ring chong ching ching chong chong ching,0,0,1,0,0,0,ring chong ching ching chong chong ching,7
golden visas: wealthy immigrants abuse quebec's immigration pro... @url via @user,0,0,0,0,0,1,golden visas wealthy immigrants abuse quebec immigration pro via,9
@user @user eu ching chongs arent real ching chong,0,0,1,0,0,0,eu ching chongs are nt real ching chong,8
@user @user @user oooft ya cunt  cant belive still photo haha x,0,0,1,0,0,0,ooft ya cunt can not belive still photo haha,9
faggot people? self hatred much king? @url,0,0,1,0,0,0,faggot people self hatred much king,6
@user skele boi far superior toothy mongoloid,0,0,1,0,0,0,skele boi far superior toothy mongoloid,6
@user feminazi detected,0,0,1,0,0,0,feminazi detected,2
@user many dead illegal aliens vote blue november dems arent worried,0,0,1,0,0,0,many dead illegal aliens vote blue november dems are nt worried,11
okay white,0,0,1,0,0,0,okay white,2
@user u dad fucking retard,0,0,1,1,0,0,dad fucking retard,3
@user goat beach way retard,0,0,0,0,0,1,goat beach way retard,4
@user @user @user florida shithole armpit united states. gulf @url,0,0,1,0,0,0,florida shithole armpit united states gulf,6
@user whatever retard,0,0,1,0,0,0,whatever retard,2
rrrrrrly dont care im cunt,0,0,1,0,0,0,rrly do nt care cunt,5
&gt;if people truly matter even one retarded hold much importancennthey @url,1,0,0,0,1,0,gtif people truly matter even retarded hold much importancennthey,9
feel retarded cant,0,0,1,0,0,0,feel retarded can not,4
@user @user yeap....spic wet.,0,1,1,0,0,0,yeap spic wet,3
@user @user outrageous!!!!!!!! outrageous!!! youre going illegal aliens (because thats wh @url,0,0,1,0,0,0,outrageous outrageous you re going illegal aliens because that wh,10
@user text back faggot,0,0,1,0,0,0,text back faggot,3
d-rats feminazi abortion devils came trolling carloads cash. despicable! @url,0,1,0,0,0,0,rats feminazi abortion devils came trolling carloads cash despicable,9
baby daddy retarded bitch,0,0,1,0,0,0,baby daddy retarded bitch,4
@user fair nigger!,1,0,1,1,1,1,fair nigger,2
@user really want turn country shithole. going happen.,0,0,1,0,0,0,really want turn country shithole going happen,7
fucking hate lanky ginger cunt joseph brady,0,1,0,0,0,0,fucking hate lanky ginger cunt joseph brady,7
#dodamage slogan unbelievably stupid. every offense's goal damage. gives mongoloid boston f @url,1,1,1,1,1,0,dodamage slogan unbelievably stupid every offense goal damage gives mongoloid boston,11
i'm gay i'm faggot shut fuck up.,1,0,1,0,0,0,am gay am faggot shut fuck up,7
@user retard tranny spic show good,0,0,1,0,0,0,retard tranny spic show good,5
i'm racist! touched tan dick once. sure race though. kinda spic.,1,0,1,1,1,1,am racist touched tan dick once sure race though kinda spic,11
@user @user @user woman. tool. make feel unsafe. how's retard.,0,0,1,0,0,0,woman tool make feel unsafe how is retard,8
@user called shithole countries trump .,0,0,1,0,0,0,called shithole countries trump,4
@user @user hellbent ching chong communists want oppress anyone isn' @url,0,1,1,0,0,0,hellbent ching chong communists want oppress anyone isn,8
@user dirtiest chinaman criminal lee hsien loong inciting racial hatred malaysian chinamen crimi @url,0,0,1,0,0,0,dirtiest chinaman criminal lee hsien loong inciting racial hatred malaysian chinamen crimi,12
@user barns heard discussing 'lecherous twat' mistook 'leftist plot'.nneasily done ....,0,0,0,1,0,1,barns heard discussing lecherous twat mistook leftist plotnneasily done,9
mr drabu snobby twat are! @url,0,0,1,0,0,0,mr drabu snobby twat are,5
california candidate governor promises free health care illegal immigrants latest push financial @url,0,0,1,0,0,0,california candidate governor promises free health care illegal immigrants latest push financial,12
@user @user shithole countries ring bell? good genes? birtherism fine people sides,0,0,1,0,0,0,shithole countries ring bell good genes birtherism fine people sides,10
@user @user fast forward section unfunny twat,0,1,1,0,0,0,fast forward section unfunny twat,5
grandma called faggot today that's new low,1,1,1,1,0,1,grandma called faggot today that is new low,8
imagine living shithole country since birth yet stick peak american politics,0,0,1,0,0,0,imagine living shithole country since birth yet stick peak american politics,11
shut nigger @url,0,0,1,0,0,0,shut nigger,2
think communists despise white people capitalism went full retard less okay @url,0,0,1,0,0,0,think communists despise white people capitalism went full retard less okay,11
volkan looking like retarded cousin brian ortega #ufcmoncton,0,0,1,0,0,0,volkan looking like retarded cousin brian ortega ufcmoncton,8
bitch shut yo retarded ass looking like great value nipsey hussle. @url,0,0,0,0,0,1,bitch shut yo retarded ass looking like great value nipsey hussle,11
cunt everyone smell it.,0,0,1,0,0,0,cunt everyone smell it,4
literally waited red light five minutes i'm fucking retard,0,0,1,0,0,0,literally waited red light minutes am fucking retard,8
words it'll become shithole state instead shithole country? @url,0,1,0,0,0,0,words it will become shithole state instead shithole country,9
@user @user en retard look ton insta,0,0,1,0,0,0,en retard look ton insta,5
@user @user egn admin? shut fucken mouth cunt give fuck ftp put @url,0,0,1,0,0,0,egn admin shut fucken mouth cunt give fuck ftp put,10
pinche mames wey!!!! ugh fucking orange cunt stupid af!! @user yea @url,0,0,1,0,0,0,pinche mames wey ugh fucking orange cunt stupid af yea,10
@user sure except directly quoting trump's shithole countries.,0,0,0,1,0,1,sure except directly quoting trump shithole countries,7
aw nut cunt fkn gee lift home,1,0,0,1,0,0,aw nut cunt fkn gee lift home,7
@user violence?you got mad year ago saying shithole countries. make minds. @url,0,0,1,0,0,0,violenceyou got mad year ago saying shithole countries make minds,10
trot cinema watch burn stage fucker chanting 2!3! might throw twat @url,0,0,1,0,0,0,trot cinema watch burn stage fucker chanting might throw twat,10
@user visited taiwan once!i hope go back country someday,0,0,0,0,0,1,visited taiwan oncei hope go back country someday,8
let rot shithole chose. never ever ever let near country @url,1,1,0,1,1,1,let rot shithole chose never ever ever let near country,10
i'm looking relationship means i'm trying hoe around ?  retard juice strong,0,0,1,0,0,0,am looking relationship means am trying hoe around retard juice strong,11
course safety net necesary that's basic principle civikized country.nno shithole country safet @url,0,0,0,0,1,1,course safety net necesary that is basic principle civikized countrynno shithole country safet,13
@user needs remind @user one million polish immigrants flooded britain exploited wor @url,0,0,1,0,0,0,needs remind polish immigrants flooded britain exploited wor,8
@user migrants bring disease death properly vetted,1,1,1,1,1,0,migrants bring disease death properly vetted,6
@user @user shut fuck retard,0,0,1,0,0,0,shut fuck retard,3
carrying retard boy @user @url,0,0,1,0,0,0,carrying retard boy,3
wow. twat @url,0,0,1,0,0,0,wow twat,2
@user @user @user babe ruth dirty jew,0,1,0,0,0,0,babe ruth dirty jew,4
@user wow. remember tried spinning shithole countries people like nah okay. human garbage.,0,0,0,0,0,1,wow remember tried spinning shithole countries people like nah okay human garbage,12
since cishets feel need butt head everything lgbt+ related: gay people say faggot.ntransgende @url,0,0,1,0,0,0,since cishets feel need butt head everything lgbt related gay people say faggotntransgende,13
people get offended insults jokes words like retarded autistic faggot etc. @url,0,0,1,0,0,0,people get offended insults jokes words like retarded autistic faggot etc,11
@user thnk u spic flair,0,0,1,0,0,1,thnk spic flair,3
@user stop making gay u faggot,0,1,0,1,0,0,stop making gay faggot,4
@user @user witch muslim country shithole? #crickets,0,0,0,0,0,1,witch muslim country shithole crickets,5
keep mind.. call faggot spanish mean can't still understand you.,0,0,1,0,0,0,keep mind call faggot spanish mean can not still understand you,11
@user @user pretty much hes little dick faggot needs ass beat reality check ain't shit,0,1,1,0,0,0,pretty much he little dick faggot needs ass beat reality check is not shit,14
@user retard.,0,0,1,0,0,0,retard,1
@user @user ching chong ching ching jackie chan,0,0,1,0,0,0,ching chong ching ching jackie chan,6
@user (shithole countries sons bitches bleeding whatever sleepy eyes grab @url,0,0,1,0,0,0,shithole countries sons bitches bleeding whatever sleepy eyes grab,9
@user @user trans male mongoloid woman's event. goes @url,0,1,1,0,0,0,trans male mongoloid woman event goes,6
@user treating like treat dengists i'd probably say read book retard post b @url,0,0,1,0,0,0,treating like treat dengists would probably say read book retard post,11
@user @user @user low life people shithole countries. truth always flowers candy.,0,0,1,0,0,0,low life people shithole countries truth always flowers candy,9
tbh wouldnt hard drain refugees europe. arent smart. make lot noise. draw @url,0,0,1,0,0,0,tbh would nt hard drain refugees europe are nt smart make lot noise draw,14
one day work 3:30 morning fucking calf decided go full retard @url,0,0,1,0,0,0,day work morning fucking calf decided go full retard,9
twat? gary twat ,0,0,1,0,0,0,twat gary twat,3
shoot shot lil faggot bitch. ya girl seen tonight knows what's it. got something say @url,0,0,1,0,0,0,shoot shot lil faggot bitch ya girl seen tonight knows what is it got something say,16
envy people know express emotions without sounding like complete retard,0,0,1,0,0,0,envy people know express emotions without sounding like complete retard,10
@user gonna happen retarded traders get etf approval,1,0,1,0,0,0,gon na happen retarded traders get etf approval,8
@user wait. lost control dyke w/ @url,0,0,1,0,0,0,wait lost control dyke,4
@user ok hobi spic,1,1,1,1,1,0,ok hobi spic,3
anyways imma take nap there's fascists everywhere shithole country hope die yeehaw ,0,0,1,0,0,0,anyways imma take nap there is fascists everywhere shithole country hope die yeehaw,13
fat mongy mess today ,0,1,1,1,1,1,fat mongy mess today,4
okay really americans fucking mongy @url,0,0,1,0,0,0,okay really americans fucking mongy,5
